epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,39492.3,1.33097,0.93877,0.90625,0.44451,0.33243,0.33494,0.19629,1.31944,0.97246,0.90303,0.001684,0.001684,0.001684
86,39728.1,1.32708,0.93551,0.9066,0.45039,0.33087,0.33476,0.19615,1.31844,0.97139,0.90285,0.001585,0.001585,0.001585
87,39965.7,1.33186,0.9372,0.90687,0.44566,0.33539,0.33508,0.19624,1.31836,0.97189,0.90299,0.001486,0.001486,0.001486
88,40205.6,1.33067,0.93392,0.90461,0.45154,0.33069,0.33615,0.1969,1.31845,0.97204,0.90316,0.001387,0.001387,0.001387
89,40475.9,1.32193,0.92888,0.90486,0.44702,0.33595,0.33678,0.19728,1.31758,0.97151,0.9029,0.001288,0.001288,0.001288
90,40728.4,1.3253,0.92788,0.90325,0.44333,0.33566,0.33635,0.19653,1.31982,0.97198,0.90358,0.001189,0.001189,0.001189
91,40984.5,1.29912,0.91008,0.90569,0.44242,0.33421,0.3336,0.19522,1.32059,0.97238,0.9037,0.00109,0.00109,0.00109
92,41205.3,1.28889,0.89589,0.90161,0.4403,0.33076,0.33337,0.1952,1.32192,0.97182,0.90378,0.000991,0.000991,0.000991
93,41446,1.28755,0.88795,0.90075,0.44778,0.32723,0.33311,0.19482,1.3226,0.97216,0.9036,0.000892,0.000892,0.000892
94,41680.5,1.28878,0.88885,0.89998,0.45101,0.3216,0.33101,0.19411,1.32293,0.97351,0.90316,0.000793,0.000793,0.000793
95,41899.4,1.28285,0.88429,0.89914,0.44841,0.32382,0.33154,0.19442,1.32439,0.97284,0.90345,0.000694,0.000694,0.000694
96,42612.3,1.27596,0.87647,0.89829,0.44941,0.32673,0.33242,0.19458,1.32491,0.97345,0.90351,0.000595,0.000595,0.000595
97,42849.4,1.27752,0.87758,0.89868,0.44866,0.3257,0.3321,0.19406,1.32456,0.97329,0.90366,0.000496,0.000496,0.000496
98,43074.8,1.2776,0.87306,0.89745,0.44214,0.32931,0.33241,0.19435,1.3237,0.97233,0.90352,0.000397,0.000397,0.000397
99,43295,1.27371,0.87149,0.89656,0.44253,0.32979,0.33186,0.19437,1.32305,0.97177,0.90334,0.000298,0.000298,0.000298
100,43659.4,1.26912,0.86908,0.89553,0.44307,0.32952,0.33205,0.19465,1.3232,0.97217,0.90333,0.000199,0.000199,0.000199
